# Created with https://www.mockaroo.com.

id,city,date,grocery,value01,amount
741,Sainte-Anne-des-Plaines,1908-02-11,Corn Syrup,39968.22,-249092
742,Wangsi,2016-11-11,Muffin Carrot - Individual,-99751.79,898094
743,Tiantang,1950-03-01,Extract - Rum,-66094.88,-890165
744,Villefontaine,1959-02-27,Cocoa Powder - Natural,-13462.03,-811620
745,Daejeon,1919-01-17,Chicken - Livers,-67485.5,-91000
746,Savyntsi,2008-07-05,"Sauce - Soya, Light",63635.74,770053
747,Évry,2009-06-24,Chocolate - Feathers,-49278.16,-810595
748,Bolondrón,2016-01-07,Ginger - Pickled,-54822.84,-634711
749,Lubin,1977-04-28,Vinegar - Cider,39929.51,-65657
750,Boevange-sur-Attert,1939-02-14,Butcher Twine 4r,-60403.27,-212976
751,Firavitoba,1927-08-14,Ham - Cooked Italian,46026.42,130669
752,Halden,2018-12-11,Contreau,-93982.88,-599009
753,Novopokrovka,1919-09-10,Sherry - Dry,85667.39,417758
754,Qingtaiping,1957-10-20,Cheese - Asiago,-82945.33,843621
755,Tigre,1992-05-22,Muffin Mix - Raisin Bran,57487.36,15578
756,Willowmore,1914-06-12,Sword Pick Asst,69960.33,484708
757,Luna,1988-08-12,"Cheese - Boursin, Garlic / Herbs",45835.42,103206
758,San Isidro,1942-05-04,Beans - Wax,54516.44,-127066
759,Hamilton,1928-02-13,Bread - Onion Focaccia,-98634.34,-296573
760,Lorient,1984-07-27,Capers - Pickled,-26334.98,541639
761,Lacolle,1912-04-04,"Chicken - Wings, Tip Off",-75109.63,-595370
762,Rio Grande da Serra,1910-09-11,Puree - Strawberry,35482.47,-84660
763,Zhirnovsk,1983-12-09,Flower - Carnations,53825.02,10562
764,Hangwula,1938-09-14,Bandage - Finger Cots,-60775.13,-658380
765,Lagny-sur-Marne,1967-10-10,Sauce - Alfredo,87179.85,-789869
766,Caijiapu,1963-07-18,Initation Crab Meat,-62762.04,776219
767,El Triunfo,2011-01-15,Wine - Conde De Valdemar,-1873.82,-875995
768,Heishui,1991-04-05,Banana - Leaves,54934.26,211548
769,城郊,1955-03-18,Chocolate Liqueur - Godet White,-48738.93,-847761
770,Sulechów,1958-05-27,Dried Cranberries,-80185.18,-263465
771,Shiqiaotou,1912-01-12,Chicken - Livers,88232.27,725610
772,Nanbin,1967-07-18,Bread - Italian Roll With Herbs,69707.49,892965
773,Kez,1905-02-05,Wine - Riesling Dr. Pauly,-75124.43,347616
774,Maisons-Alfort,1998-09-26,Clementine,-48257.23,-759809
775,Renfrew,1961-06-30,Kellogs Cereal In A Cup,-52308.79,411151
776,Czerwionka-Leszczyny,2014-02-07,Appetizer - Assorted Box,-35150.32,-140973
777,Temaiku Village,1953-01-09,Yokaline,79900.33,425699
778,Jabinyānah,1969-01-19,Scallops - In Shell,-35619.44,476474
779,Şafāshahr,1916-01-23,Vinegar - Red Wine,14109.17,-69784
780,Jiulong,1994-04-01,Container Clear 8 Oz,-65660.44,469132
781,Gombe,1924-11-13,Sesame Seed,67222.59,899818
782,Cijapar,2017-04-02,Shrimp - Tiger 21/25,-21839.83,-39920
783,Pajapita,1994-07-07,"Rum - Coconut, Malibu",27289.55,-848032
784,Pompéu,1970-09-16,"Lamb - Leg, Boneless",-23449.96,314061
785,Chuarrancho,1941-12-06,Sprouts - Peppercress,-38571.89,-672174
786,Hongqi Yingzi,1990-08-23,Cheese - La Sauvagine,57411.94,-185783
787,Al Quwaysimah,1953-03-11,"Veal - Inside Round / Top, Lean",97785.11,156537
788,Xinglongjie,1961-09-03,Cheese - Le Cheve Noir,-36745.14,61329
789,Andop,1907-03-22,Wine - Barolo Fontanafredda,18770.0,726672
790,Taurisma,1982-06-21,Squid - Breaded,-63047.19,-860914
791,Dārāb,1983-03-04,"Pasta - Linguini, Dry",-92111.05,933812
792,Neochóri,1971-02-21,The Pop Shoppe - Root Beer,31561.86,-871193
793,Salvador,2005-02-04,Veal - Inside,65847.8,-238843
794,Guleluke,2012-03-17,"Veal - Chops, Split, Frenched",52645.1,354898
795,Mīr Bachah Kōṯ,1950-02-28,Sauce - Ranch Dressing,29065.9,-701273
796,Bosaso,1981-01-15,Yoghurt Tubes,-29072.73,529075
797,Solkan,1953-11-26,Coffee - Flavoured,92365.39,100261
798,Krouna,2016-02-03,"Brownies - Two Bite, Chocolate",-97923.14,-678734
799,Coulommiers,1964-05-04,Oven Mitt - 13 Inch,-44900.46,-174603
800,Prokuplje,2018-05-07,"Mushroom - Chanterelle, Dry",-99795.66,607074
801,Chemin Grenier,1952-01-15,"Tabasco Sauce, 2 Oz",-24527.74,124630
802,Niedzica,1923-08-02,Chicken - Bones,-45473.44,-413082
803,Santo Tomás,1919-11-30,Bread - Raisin Walnut Pull,51325.12,-657281
804,Hadayang,2016-01-30,"Shrimp - Baby, Warm Water",81555.64,727466
805,Mokotów,1928-07-16,"Cheese - Romano, Grated",1595.57,-239759
806,San Juan,1902-06-06,Oven Mitts 17 Inch,12101.1,-611790
807,Świętajno,1986-08-09,Beans - Butter Lrg Lima,-46983.91,826835
808,Gavinhos de Baixo,1946-03-02,Liqueur - Melon,78692.43,-11591
809,Valparaíso,1943-03-18,Wine - Taylors Reserve,-83937.15,-927071
810,General Ramírez,1917-03-22,Cabbage - Nappa,96753.58,137267
811,Brikama,1981-01-11,Flower - Leather Leaf Fern,-59808.87,-529883
812,Sulaco,1985-12-24,"Bread - Roll, Italian",39389.23,548374
813,Višňové,1945-09-30,"Pork - Chop, Frenched",-44811.2,992190
814,Ochla,1946-02-13,Icecream Bar - Del Monte,52478.32,34213
815,Ressano Garcia,1990-12-05,Clam Nectar,66125.88,843301
816,Damāvand,1965-06-04,Lamb Leg - Bone - In Nz,43355.18,122571
817,Padangsidempuan,1946-07-13,"Wine - White, Mosel Gold",40564.28,-952391
818,Tyvriv,2011-01-11,Duck - Fat,-60372.82,329248
819,Thị Trấn Na Hang,1953-03-18,Wiberg Cure,-3387.94,52785
820,Kiamba,1939-12-19,Ice Cream Bar - Drumstick,-49500.99,389668
821,Tilcara,1937-03-10,Salt - Seasoned,22532.66,-150020
822,Longcheng,2012-02-12,"Doilies - 7, Paper",-26667.67,-64095
823,Alindao,1938-05-08,Cookie Dough - Chunky,58359.6,-807060
824,Pitanga,1944-10-12,The Pop Shoppe - Root Beer,-79376.42,-248858
825,Sidi Redouane,1942-01-07,Mushroom Morel Fresh,41954.28,234685
826,Paarl,2000-08-23,Chips Potato Salt Vinegar 43g,80622.46,-975274
827,Rashaant,2006-02-18,"Wine - White, Pelee Island",-13572.76,709390
828,Leyuan,1947-09-07,Compound - Passion Fruit,7768.39,-875124
829,Alderetes,1995-10-09,Flour - Masa De Harina Mexican,-68160.0,-504913
830,Estreito,1963-07-08,Muffin Batt - Blueberry Passion,69778.21,-112284
831,Rogowo,1930-02-07,Table Cloth 91x91 Colour,-83600.11,-52325
832,Nekrasovka,1902-11-10,Bread - Italian Roll With Herbs,-70604.51,-683367
833,Banda Layung,1905-08-03,"Beans - Fava, Canned",-35911.53,784770
834,Somovo,2018-03-07,Truffle Cups Green,-99241.03,-400275
835,White River,1952-11-17,Lamb - Loin Chops,28295.48,408539
836,Kolpashevo,1956-11-25,"Juice - Apple, 341 Ml",-74520.5,54756
837,Lanlongkou,1975-09-03,Cookies - Amaretto,51070.86,-387409
838,Beizhuang,1995-03-19,Table Cloth 90x90 White,75820.51,897685
839,Novi Travnik,1939-02-07,Juice - Lagoon Mango,-93228.72,236878
840,Montréal-Est,1955-12-01,Syrup - Monin - Blue Curacao,65353.6,798333
841,Ruyigi,1928-08-15,Tuna - Yellowfin,15996.82,80794
842,Laventille,1924-03-31,Pepper - Roasted Red,-5160.97,-708655
843,Solna,1963-11-23,Pear - Packum,54844.85,514744
844,Kimanuit,1956-05-20,Magnotta Bel Paese Red,5258.94,-346088
845,Outeirô,1904-09-05,"Yogurt - Banana, 175 Gr",-69811.8,119822
846,Tišina,2007-09-08,Wine - Ruffino Chianti,61178.13,-524825
847,Shagonar,1987-03-27,Crackers - Trio,-20248.49,-593894
848,Meijiang,1987-04-12,Brandy Cherry - Mcguinness,-49266.03,-192191
849,Bulacnin,2013-11-12,Banana,-91555.87,-515828
850,Gaoping,2012-09-01,Salad Dressing,74650.5,481341
851,Prusice,1939-01-17,Uniform Linen Charge,14425.2,891029
852,Stockholm,1927-10-01,"Yogurt - Banana, 175 Gr",66098.52,357132
853,Nārāyanganj,1994-04-22,Table Cloth 53x53 White,-3910.61,-288091
854,Kampungraja,1941-01-16,Wine - Chateau Bonnet,-72999.57,686769
855,Sikasso,1910-12-01,Onions - Spanish,83263.15,-568173
856,Casal,1976-05-07,Pomegranates,-60798.41,-308042
857,Bairro do Margaça,1937-11-07,Chick Peas - Canned,79536.7,930070
858,Pinheiro Machado,1904-03-01,Squid - Tubes / Tenticles 10/20,-1471.23,-769811
859,Plaza Huincul,1958-07-09,Milk - 1%,47242.24,259108
860,Mukhen,1943-07-08,Quiche Assorted,-75695.85,22187
861,Baishuiyang,1978-12-15,Beer - Rickards Red,-71738.23,57683
862,Tyresö,2018-05-02,Fennel - Seeds,-26866.03,-424253
863,Želešice,2006-02-02,Beef - Kobe Striploin,-77406.85,557696
864,Fakel,1916-11-18,Danishes - Mini Raspberry,39933.45,299885
865,Dongkengkou,2008-06-13,Yoplait - Strawbrasp Peac,64320.17,691578
866,Kamárai,1997-09-04,Muffin - Carrot Individual Wrap,-98259.2,-383605
867,Vardenik,1950-11-14,Tomatoes - Orange,-56595.09,146101
868,Independencia,1990-09-25,Bagel - Plain,13785.48,-123168
869,Orlovskiy,1912-08-18,"Chicken - Breast, 5 - 7 Oz",86071.4,617247
870,Suita,1929-10-08,"Ranchero - Primerba, Paste",-83302.67,-962318
871,Žďár nad Sázavou,1957-02-27,Venison - Striploin,31559.74,-691162
872,Cipeucang,1942-11-25,"Cup - 6oz, Foam",-96081.7,-876984
873,Övertorneå,2019-11-01,Rappini - Andy Boy,-92279.61,-395408
874,Marseille,1914-12-20,Salt - Sea,85160.88,917510
875,Bang Mun Nak,1915-09-11,Juice - Happy Planet,-14261.2,-875573
876,Lewodoli,1970-01-15,Squid - Tubes / Tenticles 10/20,-62446.73,478116
877,Shanghu,1936-03-26,Muffin Mix - Banana Nut,-4333.88,-565820
878,Calomboyan,1996-10-05,Sauce - Ranch Dressing,-53631.19,504281
879,Columbia,1936-03-29,Island Oasis - Magarita Mix,55907.17,33241
880,La Tuque,1944-12-14,Wine - Segura Viudas Aria Brut,-28896.24,-492862
881,Pršovce,1904-01-17,"Soda Water - Club Soda, 355 Ml",-24570.73,680750
882,Oof,1953-04-23,Spice - Chili Powder Mexican,29209.67,-192073
883,Guozhen,1910-11-25,Coffee - Egg Nog Capuccino,68830.16,-43669
884,Phlapphla Chai,2007-03-07,Soup - Boston Clam Chowder,69133.5,53041
885,Sadov,2019-03-18,Chevere Logs,-6888.51,306396
886,Golbey,2009-03-26,"Trout - Rainbow, Frozen",-79578.42,-818815
887,Cortezia,1952-03-29,"Juice - Grape, White",-16819.41,-312721
888,Pianbai,1926-02-01,Pate Pans Yellow,-34993.22,27020
889,Urug,2013-01-08,"Syrup - Monin, Amaretta",-54894.87,-928735
890,Řečany nad Labem,1977-03-19,Foil - 4oz Custard Cup,55600.84,-254668
891,Färjestaden,2019-01-13,Pants Custom Dry Clean,68735.56,529359
892,Manzini,1970-09-15,"Tea - Darjeeling, Azzura",54258.18,-829820
893,Lomba do Loução,1964-11-09,"Lemonade - Mandarin, 591 Ml",50938.9,688577
894,La Fortuna,1975-06-10,Tahini Paste,56198.81,83343
895,San Antonio,1948-05-15,Island Oasis - Cappucino Mix,-42458.6,-567085
896,Dongxiaokou,1988-03-14,Vinegar - Tarragon,79669.52,553092
897,Kaingiwa,2005-12-08,Beans - Fine,-2057.84,129662
898,Aqtaū,2011-07-13,Longos - Chicken Caeser Salad,83049.47,383626
899,Shibetsu,1919-03-21,"Rum - Light, Captain Morgan",-63687.59,738291
900,Hamilton,1997-07-30,"Apple - Delicious, Red",96879.51,547346
901,Dushanbe,1907-05-09,Coffee - Irish Cream,51720.18,923705
902,Lianyuan,1974-04-18,Table Cloth 62x114 White,-92798.53,-747694
903,Yushan,1921-09-28,Milk - 2%,-47392.41,-597864
904,Esperanza,2002-05-25,Assorted Desserts,-36737.98,415271
905,Santa Rita,1992-11-07,Mix - Cocktail Ice Cream,-29350.66,-843487
906,Bayt Ūlā,1977-04-29,Lid - 16 Oz And 32 Oz,-11811.29,186323
907,Jingchuan,1952-12-02,Kellogs Raisan Bran Bars,79687.18,154370
908,Yuannan,1980-07-25,Flower - Potmums,-17161.8,-401051
909,La Montañita,1906-12-17,Carbonated Water - White Grape,43376.16,-211302
910,Berlín,1906-08-25,Ecolab Digiclean Mild Fm,-62465.11,628648
911,Nuga,2019-01-02,Chocolate Bar - Smarties,98555.79,-471716
912,Vozuća,1966-12-14,Sprouts - China Rose,6309.23,678655
913,Suba,1901-03-21,"Cup - 3.5oz, Foam",61518.27,492879
914,Tengah,1994-03-22,Duck - Whole,-23113.43,772759
915,Emiliano Zapata,1978-02-08,"Wine - Niagara,vqa Reisling",80822.51,241991
916,Dazhan,1954-01-24,"Lettuce - Mini Greens, Whole",-78053.11,195067
917,Bogdaniec,1947-07-22,"Shrimp - Baby, Warm Water",23003.93,276858
918,San Roque,1925-10-15,French Pastries,-73537.76,-374263
919,Maştağa,1974-04-20,Water - Green Tea Refresher,-15160.94,-179793
920,Dehui,1995-09-24,Muffin Mix - Carrot,71449.61,-691564
921,Elena,1904-08-08,Vaccum Bag 10x13,-89859.54,-243524
922,Ambanja,2011-12-05,"Coke - Diet, 355 Ml",-40528.82,344338
923,Burträsk,1991-12-19,Butter - Salted,-89043.85,-59446
924,Viengxay,2000-06-03,Gingerale - Diet - Schweppes,69415.61,-833528
925,Toledo,1948-04-12,"Oil - Shortening,liqud, Fry",361.39,444336
926,Sukabatu,1924-04-01,Cherries - Frozen,55659.35,806614
927,Mizoch,2008-08-15,Rice - Wild,25635.49,-500686
928,Ueki,1962-05-12,"Lamb - Pieces, Diced",-10377.75,421143
929,Poxi,1952-05-24,"Juice - Grape, White",-58944.07,-335923
930,Anto,1920-11-28,Cardamon Ground,95207.18,-328199
931,Hexi,1993-09-28,Wine - Fume Blanc Fetzer,-85982.53,362475
932,Mikstat,1946-08-30,"Pork - Bacon,back Peameal",82355.86,755580
933,Taganak,1956-02-03,Lambcasing,-7784.48,684977
934,Santa Fe,1915-03-31,Remy Red Berry Infusion,-91600.1,-404832
935,Dagur,1905-02-03,Browning Caramel Glace,86557.35,-205119
936,Mata,2016-02-02,Mix - Cocktail Ice Cream,78058.29,32596
937,Banana Village,1944-10-19,Heavy Duty Dust Pan,71415.08,-380138
938,Serra Negra,1962-05-19,Beef Dry Aged Tenderloin Aaa,-84268.1,155558
939,Tunjuk Selatan,1973-03-16,Crab Brie In Phyllo,-96891.95,-590081
940,Perepravnaya,1902-02-04,"Wine - White, French Cross",-27849.91,497321
941,San Rafael,1938-12-16,Cheese - Stilton,51932.94,198380
942,Esparza,1983-07-21,Beer - Sleemans Honey Brown,35907.68,-166513
943,Haiphong,1921-09-05,Chutney Sauce - Mango,-86240.62,339109
944,Soroti,1965-07-29,Mini - Vol Au Vents,59959.8,200916
945,Ansheng,1908-08-11,Wine - Vineland Estate Semi - Dry,-884.24,-760066
946,Marco,1987-02-25,"Wine - Red, Marechal Foch",-26888.56,310197
947,Farroupilha,1973-08-20,Pork - Belly Fresh,-16827.21,633576
948,Qiziltepa Shahri,1937-03-09,Muffins - Assorted,-94965.88,-799408
949,Ban Talat Nua,1963-02-05,Coffee - 10oz Cup 92961,-922.67,799952
950,Gaoguan,1976-08-31,Tia Maria,-56043.62,697177
951,Talā,2015-04-07,Wine - Bouchard La Vignee Pinot,-16262.97,-635466
952,El Perico,1932-09-27,"Pepper - White, Ground",-59824.3,-584998
953,Sanxi,2010-11-30,"Juice - Tomato, 48 Oz",32851.42,618076
954,Agua Buena,1965-03-23,Sausage - Liver,-79606.1,-440635
955,Neyvo-Rudyanka,1966-08-11,Longos - Chicken Cordon Bleu,-57897.42,488041
956,Seixo,1936-12-27,Godiva White Chocolate,-9524.61,336135
957,Sacramento,1959-05-27,Mushroom - King Eryingii,-4030.63,-203215
958,Campinas,1974-06-28,Ecolab - Hobart Upr Prewash Arm,-62194.14,-480042
959,Osan,1989-11-23,Pasta - Cheese / Spinach Bauletti,18196.03,353003
960,Kochani,1928-02-05,Turkey Tenderloin Frozen,-90618.16,899765
961,Nanganumba,1909-01-05,Versatainer Nc - 9388,-839.79,-417236
962,Perpignan,1929-04-26,Island Oasis - Peach Daiquiri,-32671.35,275035
963,Kandangsapi,1913-06-03,Cookie - Oatmeal,-64106.18,-610494
964,Olo,1969-01-14,"Chicken - Leg, Boneless",-29261.92,-168953
965,Geputan,1975-08-16,Hersey Shakes,-26325.98,256124
966,Nueva Fuerza,1914-06-24,Yoplait - Strawbrasp Peac,-69540.48,83636
967,Doloon,1942-02-17,Chocolate - Dark Callets,2935.07,703047
968,Krajan,1902-05-28,Iced Tea Concentrate,-4367.96,81720
969,Cakungsari,1903-12-07,"Tortillas - Flour, 8",34777.12,-637407
970,Krajan Ngerdani,1982-07-08,Cranberries - Frozen,2562.88,161438
971,Xixi,1944-04-15,French Kiss Vanilla,95001.3,-340080
972,San Lorenzo,1919-10-19,Coffee - Egg Nog Capuccino,-12149.22,474845
973,Halamendu,1913-02-09,Banana,1368.33,710084
974,Houjiachuan,1946-11-27,"Cherries - Bing, Canned",-84000.17,-523672
975,Moravská Třebová,1968-10-25,"Wine - White, Pelee Island",26696.42,-896025
976,Regnów,1985-02-20,Soup Campbells Beef With Veg,67568.23,-445529
977,Le Mans,2002-08-14,"Wine - White, Concha Y Toro",49475.88,-156400
978,Rathangan,2001-12-29,Wine - George Duboeuf Rose,21512.11,686493
979,Rejoso,1930-01-16,"Crab - Claws, Snow 16 - 24",80627.78,110387
980,Huidong,1906-05-12,Soup Campbells Mexicali Tortilla,56586.9,-130516
981,Carvalhinho,2005-11-25,Anchovy In Oil,36230.39,-681765
982,Danderyd,1955-01-10,"Tart Shells - Savory, 3",71861.73,-713907
983,Sade,2013-07-15,Grenadillo,-72352.98,-378694
984,Xiling,1959-10-09,Pepper Squash,-23812.64,277407
985,Clorinda,1907-10-23,Dooleys Toffee,46665.1,-602174
986,Mentoro Wetan,1991-12-24,Tomatoes - Roma,-92458.61,-841216
987,Lasi Dua,1979-01-19,Table Cloth 54x72 Colour,9078.49,320043
988,Argenteuil,1974-10-30,"Radish - Black, Winter, Organic",27666.7,-52957
989,Zhaozhen,1997-02-21,Flour - Bread,97782.2,44605
990,Xihu,1994-11-01,Oil - Margarine,61501.0,268582
991,Biris Daja,1994-05-26,Tomatoes - Grape,-86706.79,639334
992,Nantes,1922-09-24,Cake - Sheet Strawberry,-95580.69,-936106
993,Szklarska Poręba,1956-10-12,"Wine - Niagara,vqa Reisling",-43080.02,-830643
994,Shaxi,1987-06-26,Cafe Royale,46562.34,38993
995,Guandu,1920-11-02,Beer - True North Lager,42114.63,-735128
996,Uglovoye,1960-07-02,Wine - Acient Coast Caberne,29084.33,526607
997,Savonranta,2012-02-02,Chutney Sauce,-75272.84,-628828
998,Mata Grande,1930-02-21,Truffle Cups - Red,-8836.63,-298379
999,An Châu,1953-10-22,"Bread - Rolls, Rye",64949.56,-510761
1000,Cheongpyeong,1981-06-03,Butter - Pod,78595.17,-832392
